State/UT,Mid-Year Projected Population (in Lakhs),Rate of Total Cyber Crimes (2023),Chargesheeting Rate (2023)
Andhra Pradesh,532.2,4.4,34.3
Arunachal Pradesh,15.7,1.5,2.3
Assam,358.2,2.5,18.3
Bihar,1273.7,3.5,82.7
Chhattisgarh,302.9,1.6,84.4
Goa,15.8,5.5,30.5
Gujarat,717.9,2.8,52.1
Haryana,303.3,2.5,62.2
Himachal Pradesh,74.8,1.7,71.7
Jharkhand,396.3,2.7,53.4
Karnataka,678.3,32.3,18.1
Kerala,358.2,9.2,48.5
Madhya Pradesh,869.2,0.8,93.7
Maharashtra,1267.1,6.4,31.0
Manipur,32.3,0.1,
Meghalaya,33.6,1.9,7.5
Mizoram,12.4,2.5,100.0
Nagaland,22.4,0.1,16.7
Odisha,463.7,5.1,28.3
Punjab,308.0,1.7,43.3
Rajasthan,813.2,3.0,50.7
Sikkim,6.9,1.7,50.0
Tamil Nadu,769.4,5.4,60.4
Telangana,381.4,47.8,20.9
Tripura,41.6,0.9,64.0
Uttar Pradesh,2364.8,4.6,45.6
Uttarakhand,116.8,4.2,51.2
West Bengal,992.4,0.3,80.7
Andaman and Nicobar Islands,4.0,11.7,85.7
Chandigarh,12.4,1.9,31.3
Dadra and Nagar Haveli and Daman and Diu,12.9,0.5,83.3
Delhi,214.9,1.9,49.0
Jammu and Kashmir,136.4,1.4,48.5
Ladakh,3.0,0.3,
Lakshadweep,0.7,1.4,
Puducherry,16.6,8.9,100.0
