State/UT,Year,Cases
Andhra Pradesh,2021,1875
Arunachal Pradesh,2021,47
Assam,2021,4846
Bihar,2021,1413
Chhattisgarh,2021,352
Goa,2021,36
Gujarat,2021,1536
Haryana,2021,622
Himachal Pradesh,2021,70
Jharkhand,2021,953
Karnataka,2021,8136
Kerala,2021,626
Madhya Pradesh,2021,589
Maharashtra,2021,5562
Manipur,2021,67
Meghalaya,2021,107
Mizoram,2021,30
Nagaland,2021,8
Odisha,2021,2037
Punjab,2021,551
Rajasthan,2021,1504
Sikkim,2021,0
Tamil Nadu,2021,1076
Telangana,2021,10303
Tripura,2021,24
Uttar Pradesh,2021,8829
Uttarakhand,2021,718
West Bengal,2021,513
Andaman and Nicobar Islands,2021,8
Chandigarh,2021,15
Dadra and Nagar Haveli and Daman and Diu,2021,5
Delhi,2021,356
Jammu and Kashmir,2021,154
Ladakh,2021,5
Lakshadweep,2021,1
Puducherry,2021,0
Andhra Pradesh,2022,2341
Arunachal Pradesh,2022,14
Assam,2022,1733
Bihar,2022,1621
Chhattisgarh,2022,439
Goa,2022,90
Gujarat,2022,1417
Haryana,2022,681
Himachal Pradesh,2022,77
Jharkhand,2022,967
Karnataka,2022,12556
Kerala,2022,773
Madhya Pradesh,2022,826
Maharashtra,2022,8249
Manipur,2022,18
Meghalaya,2022,75
Mizoram,2022,1
Nagaland,2022,4
Odisha,2022,1983
Punjab,2022,697
Rajasthan,2022,1833
Sikkim,2022,26
Tamil Nadu,2022,2082
Telangana,2022,15297
Tripura,2022,30
Uttar Pradesh,2022,10117
Uttarakhand,2022,559
West Bengal,2022,401
Andaman and Nicobar Islands,2022,28
Chandigarh,2022,27
Dadra and Nagar Haveli and Daman and Diu,2022,5
Delhi,2022,685
Jammu and Kashmir,2022,173
Ladakh,2022,3
Lakshadweep,2022,1
Puducherry,2022,64
Andhra Pradesh,2023,2341
Arunachal Pradesh,2023,24
Assam,2023,909
Bihar,2023,4450
Chhattisgarh,2023,473
Goa,2023,86
Gujarat,2023,1995
Haryana,2023,751
Himachal Pradesh,2023,127
Jharkhand,2023,1079
Karnataka,2023,21889
Kerala,2023,3295
Madhya Pradesh,2023,685
Maharashtra,2023,8103
Manipur,2023,3
Meghalaya,2023,64
Mizoram,2023,31
Nagaland,2023,2
Odisha,2023,2348
Punjab,2023,511
Rajasthan,2023,2435
Sikkim,2023,12
Tamil Nadu,2023,4121
Telangana,2023,18236
Tripura,2023,36
Uttar Pradesh,2023,10794
Uttarakhand,2023,494
West Bengal,2023,309
Andaman and Nicobar Islands,2023,47
Chandigarh,2023,23
Dadra and Nagar Haveli and Daman and Diu,2023,6
Delhi,2023,407
Jammu and Kashmir,2023,185
Ladakh,2023,1
Lakshadweep,2023,1
Puducherry,2023,147
