State/UT,IT_Act_Total,IPC_Total,SLL_Total,Grand_Total
Andhra Pradesh,362,1978,1,2341
Arunachal Pradesh,17,7,0,24
Assam,847,62,0,909
Bihar,397,4052,1,4450
Chhattisgarh,310,111,52,473
Goa,75,11,0,86
Gujarat,476,1504,15,1995
Haryana,325,404,22,751
Himachal Pradesh,101,26,0,127
Jharkhand,993,86,0,1079
Karnataka,21870,18,1,21889
Kerala,1089,2110,96,3295
Madhya Pradesh,267,413,5,685
Maharashtra,960,7131,12,8103
Manipur,2,1,0,3
Meghalaya,62,2,0,64
Mizoram,31,0,0,31
Nagaland,2,0,0,2
Odisha,892,1393,63,2348
Punjab,218,283,10,511
Rajasthan,1464,953,18,2435
Sikkim,12,0,0,12
Tamil Nadu,1912,2195,14,4121
Telangana,439,17787,10,18236
Tripura,36,0,0,36
Uttar Pradesh,10102,689,3,10794
Uttarakhand,417,77,0,494
West Bengal,61,246,2,309
Andaman and Nicobar Islands,30,17,0,47
Chandigarh,17,6,0,23
Dadra and Nagar Haveli and Daman and Diu,6,0,0,6
Delhi,128,279,0,407
Jammu and Kashmir,169,8,8,185
Ladakh,0,0,1,1
Lakshadweep,1,0,0,1
Puducherry,147,0,0,147
