Sl. No.,City_Name,State,City,Personal Revenge,Emotional motives like Anger etc,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Inciting Hate against Country,Disrupt Public Service,Sale Purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total
1,Ahmedabad,Gujarat,Ahmedabad (Gujarat),0,3,141,5,70,0,25,0,2,0,0,0,0,0,0,0,0,0,246
2,Bengaluru,Karnataka,Bengaluru (Karnataka),84,5,15572,419,205,0,374,4,1,0,1,3,448,0,0,0,0,515,17631
3,Chennai,Tamil Nadu,Chennai (Tamil Nadu),10,0,1253,2,14,1,51,7,0,3,3,0,2,0,0,0,0,6,1352
4,Coimbatore,Tamil Nadu,Coimbatore (Tamil Nadu),0,1,197,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,207
5,,,Delhi City,8,2,114,12,0,11,42,1,0,0,0,0,1,1,0,0,0,215,407
6,Ghaziabad,Uttar Pradesh,Ghaziabad (Uttar Pradesh),0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,880
7,Hyderabad,Telangana,Hyderabad (Telangana),0,0,4829,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4855
8,Indore,Madhya Pradesh,Indore (Madhya Pradesh),0,3,13,9,34,2,16,1,0,0,0,0,0,0,0,0,0,8,86
9,Jaipur,Rajasthan,Jaipur (Rajasthan),4,6,335,45,16,0,12,0,0,0,0,0,1,0,0,0,0,132,551
10,Kanpur,Uttar Pradesh,Kanpur (Uttar Pradesh),0,0,0,228,132,0,89,0,0,0,0,0,0,0,0,0,0,32,481
11,Kochi,Kerala,Kochi (Kerala),1,3,52,1,6,0,47,0,0,0,0,0,0,0,0,0,0,2,112
12,Kolkata,West Bengal,Kolkata (West Bengal),0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21
13,Kozhikode,Kerala,Kozhikode (Kerala),1,0,95,7,0,0,10,1,0,0,0,0,0,0,0,0,0,0,114
14,Lucknow,Uttar Pradesh,Lucknow (Uttar Pradesh),0,0,968,290,186,0,9,0,0,0,0,0,0,0,0,0,0,0,1453
15,Mumbai,Maharashtra,Mumbai (Maharashtra),22,0,3513,28,0,0,179,0,0,0,6,0,4,0,0,0,0,379,4131
16,Nagpur,Maharashtra,Nagpur (Maharashtra),1,0,227,2,0,0,22,0,0,0,0,0,10,0,0,0,0,47,309
17,Patna,Bihar,Patna (Bihar),96,102,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
18,Pune,Maharashtra,Pune (Maharashtra),0,5,31,4,2,0,7,0,0,0,2,0,6,0,0,0,0,430,487
19,Surat,Gujarat,Surat (Gujarat),0,2,210,43,142,0,0,0,0,0,0,0,0,0,0,0,0,0,397
