Sl. No.,City_Name,State,City,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Transgender,Persons Arrested - Total,Persons Charge sheeted - Male,Persons Charge sheeted - Female,Persons Charge sheeted - Transgender,Persons Charge sheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Transgender,Persons Convicted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Transgender,Persons Discharged - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Transgender,Persons Acquitted - Total
1,Ahmedabad,Gujarat,Ahmedabad (Gujarat),328,18,0,346,328,18,0,346,0,0,0,0,0,0,0,0,25,4,0,29
2,Bengaluru,Karnataka,Bengaluru (Karnataka),521,49,0,570,2601,22,0,2623,0,0,0,0,0,0,0,0,7,0,0,7
3,Chennai,Tamil Nadu,Chennai (Tamil Nadu),100,7,0,107,87,6,0,93,25,1,0,26,0,0,0,0,11,1,0,12
4,Coimbatore,Tamil Nadu,Coimbatore (Tamil Nadu),37,0,0,37,60,0,0,60,1,0,0,1,0,0,0,0,5,0,0,5
5,,,Delhi City,309,1,0,310,271,1,0,272,42,0,0,42,2,0,0,2,26,0,0,26
6,Ghaziabad,Uttar Pradesh,Ghaziabad (Uttar Pradesh),53,0,0,53,196,0,0,196,0,0,0,0,0,0,0,0,1,0,0,1
7,Hyderabad,Telangana,Hyderabad (Telangana),236,22,0,258,1779,40,0,1819,2,0,0,2,0,0,0,0,175,0,0,175
8,Indore,Madhya Pradesh,Indore (Madhya Pradesh),52,1,0,53,51,1,0,52,9,0,0,9,0,0,0,0,19,0,0,19
9,Jaipur,Rajasthan,Jaipur (Rajasthan),193,6,0,199,195,6,0,201,10,0,0,10,5,0,0,5,5,0,0,5
10,Kanpur,Uttar Pradesh,Kanpur (Uttar Pradesh),781,0,0,781,83,0,0,83,106,0,0,106,0,0,0,0,24,0,0,24
11,Kochi,Kerala,Kochi (Kerala),43,4,0,47,43,1,0,44,1,0,0,1,0,0,0,0,4,0,0,4
12,Kolkata,West Bengal,Kolkata (West Bengal),34,0,0,34,114,0,0,114,0,0,0,0,0,0,0,0,5,0,0,5
13,Kozhikode,Kerala,Kozhikode (Kerala),36,0,0,36,37,0,0,37,0,0,0,0,0,0,0,0,7,0,0,7
14,Lucknow,Uttar Pradesh,Lucknow (Uttar Pradesh),70,0,0,70,276,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0
15,Mumbai,Maharashtra,Mumbai (Maharashtra),1623,46,0,1669,1036,30,0,1066,5,0,0,5,1,1,0,2,17,0,0,17
16,Nagpur,Maharashtra,Nagpur (Maharashtra),111,2,0,113,78,2,0,80,1,0,0,1,0,0,0,0,8,0,0,8
17,Patna,Bihar,Patna (Bihar),469,8,0,477,474,8,0,482,0,0,0,0,0,0,0,0,0,0,0,0
18,Pune,Maharashtra,Pune (Maharashtra),63,1,0,64,64,1,0,65,0,0,0,0,0,0,0,0,0,1,0,1
19,Surat,Gujarat,Surat (Gujarat),529,42,0,571,529,42,0,571,0,0,0,0,0,0,0,0,0,0,0,0
